File,Iteration,Connected,Size,Clustersize,Total_CZ,Still_CZ,Ratio,Saved_entanglement_by_color
qaoa_indep_qiskit_10,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,40,40,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}"
qaoa_indep_qiskit_10,0,True,"[4, 2, 2, 2, 4, 4, 2]",3,40,28,0.7,"{1: 400, 2: 0, 3: 0, 4: 0, 5: 400, 6: 400, 7: 0}"
qaoa_indep_qiskit_10,0,True,"[4, 4, 8, 4, 2]",4,40,16,0.4,"{1: 400, 2: 400, 3: 1200, 4: 400, 5: 0}"
qaoa_indep_qiskit_10,0,True,"[8, 4, 8, 4]",5,40,12,0.3,"{1: 800, 2: 400, 3: 1200, 4: 400}"
ghz_indep_qiskit_10,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,9,9,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}"
ghz_indep_qiskit_10,0,True,"[2, 2, 2, 4, 2, 4, 4]",3,9,6,0.6666666666666666,"{1: 0, 2: 0, 3: 0, 4: 100, 5: 0, 6: 100, 7: 100}"
ghz_indep_qiskit_10,0,True,"[4, 4, 4, 4, 4]",4,9,4,0.4444444444444444,"{1: 100, 2: 100, 3: 100, 4: 100, 5: 100}"
ghz_indep_qiskit_10,0,True,"[8, 8, 4, 4]",5,9,3,0.3333333333333333,"{1: 200, 2: 200, 3: 100, 4: 100}"
ae_indep_qiskit_15,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,210,210,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0}"
ae_indep_qiskit_15,0,True,"[4, 2, 4, 2, 2, 2, 2, 8, 2, 4]",3,210,198,0.9428571428571428,"{1: 200, 2: 0, 3: 200, 4: 0, 5: 0, 6: 0, 7: 0, 8: 600, 9: 0, 10: 200}"
ae_indep_qiskit_15,0,True,"[4, 2, 2, 2, 4, 4, 16, 4]",4,210,190,0.9047619047619048,"{1: 200, 2: 0, 3: 0, 4: 0, 5: 200, 6: 200, 7: 1200, 8: 200}"
ae_indep_qiskit_15,0,True,"[4, 4, 32, 4, 4, 4]",5,210,180,0.8571428571428571,"{1: 200, 2: 200, 3: 2000, 4: 200, 5: 200, 6: 200}"
ghz_indep_qiskit_15,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,14,14,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0}"
ghz_indep_qiskit_15,0,True,"[2, 4, 4, 4, 2, 2, 2, 4, 2, 4]",3,14,9,0.6428571428571429,"{1: 0, 2: 100, 3: 100, 4: 100, 5: 0, 6: 0, 7: 0, 8: 100, 9: 0, 10: 100}"
ghz_indep_qiskit_15,0,True,"[4, 4, 4, 2, 4, 4, 4, 4]",4,14,7,0.5,"{1: 100, 2: 100, 3: 100, 4: 0, 5: 100, 6: 100, 7: 100, 8: 100}"
ghz_indep_qiskit_15,0,True,"[4, 4, 4, 8, 8, 8]",5,14,5,0.35714285714285715,"{1: 100, 2: 100, 3: 100, 4: 200, 5: 200, 6: 200}"
grover-v-chain_indep_qiskit_15,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,26758,26758,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0}"
grover-v-chain_indep_qiskit_15,0,True,"[2, 2, 2, 8, 4, 8, 2, 2, 2, 2]",3,26758,26418,0.9872935196950444,"{1: 0, 2: 0, 3: 0, 4: 13600, 5: 6800, 6: 13600, 7: 0, 8: 0, 9: 0, 10: 0}"
grover-v-chain_indep_qiskit_15,0,True,"[2, 2, 2, 16, 2, 2, 32, 2]",4,26758,26214,0.9796696315120712,"{1: 0, 2: 0, 3: 0, 4: 27200, 5: 0, 6: 0, 7: 27200, 8: 0}"
grover-v-chain_indep_qiskit_15,0,True,"[16, 2, 2, 2, 128, 2]",5,26758,25772,0.963151207115629,"{1: 61200, 2: 0, 3: 0, 4: 0, 5: 37400, 6: 0}"
graphstate_indep_qiskit_15,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,15,15,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0}"
graphstate_indep_qiskit_15,0,True,"[4, 2, 4, 4, 2, 4, 2, 2, 4, 2]",3,15,10,0.6666666666666666,"{1: 100, 2: 0, 3: 100, 4: 100, 5: 0, 6: 100, 7: 0, 8: 0, 9: 100, 10: 0}"
graphstate_indep_qiskit_15,0,True,"[4, 4, 4, 4, 4, 4, 2, 4]",4,15,8,0.5333333333333333,"{1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 0, 8: 100}"
graphstate_indep_qiskit_15,0,True,"[8, 4, 8, 4, 8, 4]",5,15,5,0.3333333333333333,"{1: 200, 2: 100, 3: 300, 4: 100, 5: 200, 6: 100}"
vqe_indep_qiskit_15,0,True,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,210,210,1.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0}"
vqe_indep_qiskit_15,0,True,"[2, 2, 4, 2, 4, 4, 4, 2, 2, 4]",3,210,200,0.9523809523809523,"{1: 0, 2: 0, 3: 200, 4: 0, 5: 200, 6: 200, 7: 200, 8: 0, 9: 0, 10: 200}"
